x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,control_activity,target_activity,control_covar,target_covar
1.4217,13.9704,11.3975,3.9349,0.7746,0.8969,2.4181,5.1375,0.5655,19.4166,30.6614,10.3472,0.24320583410890168,0.2174732801305136,0.0023227629305232144,0.002400391219595753
6.3036,23.1044,14.2516,6.5848,3.4873,7.8656,1.7162,6.6665,5.1316,6.2193,5.847,12.8391,0.15045663962247088,0.15471426889464157,0.001364051871722256,0.0017879647638980563
8.3846,29.3178,0.0616,0.4599,8.9916,0.5587,16.0848,11.1407,14.3211,4.7718,2.6081,2.5923,0.18103510595185357,0.09488908143977107,0.0016067687062539273,0.0026722890605268106
13.6335,4.0664,8.3677,4.7957,5.049,3.8371,6.6978,25.7844,2.4568,3.3685,19.9937,2.7906,0.10467453396713898,0.04227795170231716,0.0014713890439524689,0.0020378083529764765
10.1274,3.8357,11.978,2.6991,6.1911,1.241,5.0812,11.6335,1.5956,7.6244,19.1849,18.0299,0.4171324108167217,0.3576555074162876,0.0016548009901253353,0.0018905507674311644
36.0714,0.0,0.0,64.9286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013924584272128948,0.31167016662032276,0.018413984970800903,0.0784999192819844
0.686,15.5316,1.1055,6.3645,1.8102,3.3619,21.2529,14.0804,4.8394,21.3063,6.6885,2.3951,0.07970987987122437,0.01890545279393982,0.0014163214186959786,0.002251456133176776
5.4458,6.309,15.1569,5.7717,20.4689,3.0102,15.7325,10.2261,1.1925,6.664,9.3949,1.0339,0.09920058825989045,0.05409444596249938,0.00121653167296086,0.00171183326145078
0.598,5.486,0.3495,5.2915,20.2915,0.4147,5.5782,3.7282,42.6703,0.9077,10.8993,4.1435,0.11687484947620042,0.07478561043723951,0.0023883385331013012,0.004261279567227172
0.1082,9.2097,3.3817,21.7151,8.507,6.5271,5.1261,16.908,3.1674,6.2354,6.989,12.3113,0.00910967776423971,0.04322487526540883,0.0023711115451404453,0.0040343864110699785
3.4677,4.0761,1.6236,15.437,7.359,3.8725,7.0639,4.9415,6.8212,11.176,19.7107,14.5869,0.17393322237607925,0.1673314967139138,0.0014824927531140552,0.0025489431547830363
6.7839,9.6749,0.6106,6.1623,17.1801,8.1323,6.2236,4.2006,8.1121,28.1387,0.2627,4.5153,0.023654991757811467,-0.031812864354506115,0.0017269738148330239,0.002167974127331073
11.7936,5.7899,3.0368,4.7393,28.4975,4.9114,2.1496,5.4958,1.8596,5.7546,20.1713,6.7376,0.1437344813507443,0.11822413603409766,0.0016886079250399335,0.0020946069584706845
16.4033,6.1154,2.2005,5.7866,7.246,9.4102,41.8053,0.544,9.7284,0.194,0.2979,0.6502,0.164689703805109,0.09531168038881034,0.003126434049559385,0.0038030977117972284
20.762,5.4099,7.6314,0.766,3.211,0.2642,6.1888,20.4559,2.159,16.5699,3.5533,12.9272,0.26805102511024304,0.16402781846149542,0.0030574871483872814,0.0038454947207568076
18.2975,16.0198,5.763,7.6805,6.6114,8.1754,4.7182,8.8098,2.5498,9.8285,1.0059,9.9319,0.1213503989329748,0.061346825691340215,0.001145490389912081,0.0017126580831211716
0.3087,2.0903,5.1589,7.1656,28.4833,16.3119,15.8749,9.9422,1.601,10.9428,1.8419,1.2481,0.03723115795586712,-0.006351606054721848,0.0024863107798839407,0.0029436692874911046
4.9522,6.3319,9.0215,10.0524,5.2594,1.7573,3.4537,17.6166,18.2957,1.6405,4.8356,17.4666,0.25072965262348695,0.22390153746993166,0.0017579071149437994,0.002166748980929268
4.2346,8.5622,12.9647,2.0076,13.2523,13.4865,11.1794,1.2815,4.4558,17.1728,0.6823,10.4525,0.09788561070236713,0.09203560885331566,0.0020594301529556344,0.0022386602526931715
3.8061,0.2896,7.3653,13.7476,10.9326,2.9705,19.5126,14.5028,7.7788,6.9962,3.355,9.0211,0.09728737985252953,0.05702449324710457,0.0016534427407241539,0.002494382544899043
5.8127,5.612,14.9875,2.4636,3.3437,4.9936,0.9047,16.0644,1.9372,2.2227,28.1095,14.452,0.24259091005150285,0.25539508405887423,0.0021828333708576154,0.002406621224186092
19.0054,5.3833,0.0175,6.8682,3.8892,3.536,10.5688,10.955,23.7702,5.7213,7.3758,2.9815,0.11299436840469425,0.05807675979938515,0.0012534326559092287,0.0022837150413768602
12.1043,14.3261,14.6202,29.1486,0.6359,2.3915,2.0593,2.5117,6.3336,0.5629,2.9896,11.5352,0.07631089283295243,0.09250879222277998,0.003592882386040799,0.0065187992168180536
44.1471,6.8378,0.5653,25.8804,0.4738,5.4144,1.6744,1.3092,1.2849,5.7569,1.282,5.8712,0.14321943367273465,0.2643759812722528,0.005686900305330996,0.02455890330886816
2.4621,0.7054,3.3742,6.8621,7.6356,11.085,2.276,40.1416,14.4325,2.4361,8.354,0.5299,-0.024391000647204203,-0.032017668891686224,0.0035319481320453127,0.003937452238469217
0.9143,12.2903,11.3472,5.4904,0.1028,0.1557,11.4577,7.4531,12.2798,7.5562,2.6284,29.3025,0.7774337267040139,0.6487450926458231,0.006214947015952723,0.0076419133295559175
