x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,,PEG,IFN,HSA,,IFN-PEG,HSA-PEG
100,0,0,0,0,0,0,0,0,0,0,0,,0.138,1.525,2.013,,1.387,1.875
0,100,0,0,0,0,0,0,0,0,0,0,,0.036,0.66,0.836,,0.624,0.8
0,0,100,0,0,0,0,0,0,0,0,0,,0.045,0.483,0.596,,0.438,0.551
0,0,0,100,0,0,0,0,0,0,0,0,,0.043,0.068,0.057,,0.025,0.014
0,0,0,0,100,0,0,0,0,0,0,0,,0.04,0.045,0.044,,0.005,0.004
0,0,0,0,0,100,0,0,0,0,0,0,,2.047,( + ),( + ),,#VALUE!,#VALUE!
0,0,0,0,0,0,100,0,0,0,0,0,,0.054,0.695,1.001,,0.641,0.947
0,0,0,0,0,0,0,100,0,0,0,0,,0.029,0.05,0.04,,0.021,0.011
0,0,0,0,0,0,0,0,100,0,0,0,,0.072,0.35,0.407,,0.278,0.335
0,0,0,0,0,0,0,0,0,100,0,0,,0.006,0.376,0.33,,0.37,0.324
0,0,0,0,0,0,0,0,0,0,100,0,,0.064,0.977,1.068,,0.913,1.004
0,0,0,0,0,0,0,0,0,0,0,100,,0.037,0.041,0.042,,0.004,0.005
14,4,1,2,17,25,7,10,11,3,2,4,,0.067,0.141,0.157,,0.074,0.09
1,4,20,14,19,2,2,16,5,0,13,4,,0.047,0.153,0.118,,0.106,0.071
6,0,1,16,4,29,0,5,17,2,5,15,,0.066,0.137,0.167,,0.071,0.101
8,10,9,8,5,16,5,0,0,11,6,22,,0.045,0.37,0.33,,0.325,0.285
14,2,7,10,0,6,3,1,33,9,0,15,,0.073,0.319,0.332,,0.246,0.259
2,16,0,4,17,21,5,22,2,0,8,3,,0.007,0.036,0.032,,0.029,0.025
3,3,15,1,1,16,13,1,3,9,35,0,,0.04,0.164,0.126,,0.124,0.086
0,4,8,33,1,11,1,2,0,10,21,9,,0.041,0.076,0.061,,0.035,0.02
3,8,0,11,1,6,17,26,3,4,15,6,,0.05,0.118,0.082,,0.068,0.032
16,0,31,1,0,4,0,25,8,1,10,4,,0.049,0.209,0.179,,0.16,0.13
0,5,1,6,40,6,6,12,1,7,10,6,,0.059,0.231,0.13,,0.172,0.071
13,5,0,46,1,6,0,0,4,2,2,21,,0.034,0.088,0.06,,0.054,0.026
7,12,1,1,13,6,0,5,4,7,32,12,,0.088,0.565,0.514,,0.477,0.426
2,1,4,0,2,59,9,4,9,2,8,0,,1.542,2.026,2.002,,0.484,0.46
8,3,2,3,1,2,7,6,31,10,6,21,,0.057,0.746,0.849,,0.689,0.792
2,11,14,13,0,1,3,5,1,27,13,10,,0.051,0.355,0.3,,0.304,0.249
18,6,1,7,17,3,12,1,2,4,14,15,,0.065,0.724,0.818,,0.659,0.753
2,4,4,2,6,8,2,13,16,12,1,30,,0.069,0.739,0.788,,0.67,0.719
6,6,3,4,15,17,0,14,8,1,6,20,,0.064,0.201,0.117,,0.137,0.053
12,1,13,3,6,2,19,0,1,24,4,15,,0.042,0.724,0.978,,0.682,0.936
12,5,1,17,0,24,8,12,0,5,3,13,,0.076,0.1,0.109,,0.024,0.033
5,16,12,0,10,0,1,12,9,6,25,4,,0.013,0.496,0.516,,0.483,0.503
10,15,19,7,8,19,0,3,0,10,9,0,,0.045,0.172,0.418,,0.127,0.373
