x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,,PEG,IFN,HSA,,IFN-PEG,HSA-PEG,IFN-predict,control-predict
8.1426,0,0,20.4444,25.4745,0,0,0,0,0,0,46.9384,,0.153,1.807,2.026,,1.654,1.873,2.465863704,2.121470821
0,31.4922,0,0,10.5473,0,0,0,0,17.8086,0,41.1519,,0.163,( + ),( + ),,#VALUE!,#VALUE!,2.69397723,2.533846291
0,0,0,0,6.2853,0,0,0,32.3675,20.8137,0,41.5335,,0.085,2.23,2.649,,2.145,2.564,2.878849404,2.805846377
0,0,46.8537,0,8.4913,0,0,0,0,3.2123,0,42.4427,,0.102,2.259,2.93,,2.157,2.828,3.030869145,2.975566879
0,0,0,0,9.3622,0,0,0,0,54.0068,0,37.631,,0.079,1.963,2.515,,1.884,2.436,3.007508033,3.241295765
0,0,0,10.5129,10.0602,0,0,0,0,38.1117,0,42.3152,,0.075,1.568,1.937,,1.493,1.862,2.669270285,2.711614547
0,0,0,0,10.6515,0,7.8537,0,47.476,0,0,35.0188,,0.073,1.796,2.389,,1.723,2.316,2.626519858,2.7103478
0,0,0,0,9.6609,0,0,14.0722,0,34.9044,0,42.3625,,0.054,1.525,1.794,,1.471,1.74,2.931721831,2.966933052
0,0,0,0,3.4422,0,51.4995,2.8107,0,3.1749,0,40.0727,,0.119,1.974,2.773,,1.855,2.654,2.152947682,2.251505538
0,0,0,0,4.4104,0,0,2.3139,0,53.4356,0,40.8401,,0.025,1.919,2.36,,1.894,2.335,2.617968164,2.755904296
0,0,12.5966,0,10.384,0,1.5575,0.9371,0,0,42.4656,33.059,,0.076,2.321,2.799,,2.245,2.723,1.886221512,2.135159631
0,0,0,0,6.0925,0,0,0,16.0065,42.8128,0,36.0882,,0.099,1.906,2.327,,1.807,2.228,2.412182753,2.611105344
0,0,7.3817,0,0.438,0,0,0,7.7178,42.5174,0,42.9452,,0.094,2.202,2.81,,2.108,2.716,1.747732426,1.766388356
0,0,0,7.925,10.7962,0,0,0,0,40.2809,0,41.9979,,0.079,1.929,2.376,,1.85,2.297,3.079421613,3.167524592
0,0,0,0,5.4588,0,31.599,6.1298,0,16.2976,0,41.5147,,0.072,1.581,2.152,,1.509,2.08,2.787475179,2.907857498
0,0,0,0,11.3302,0,0,0,0,54.2776,0,35.3922,,0.062,1.888,2.371,,1.826,2.309,2.624634693,2.923946778
9.4662,0,0,12.2108,33.3749,0,0,0,0,0,0,45.9481,,0.133,1.023,0.951,,0.89,0.818,2.115215154,1.99378014
0,15.6958,1.2598,0,10.8182,0,0,0,14.106,14.7363,0,42.3839,,0.151,( + ),( + ),,#VALUE!,#VALUE!,3.190785151,3.001630169
0,0,0,0,3.4345,0,0,13.5389,0,40.77,0,43.2566,,0.062,1.552,1.711,,1.49,1.649,2.071280074,2.12077419
0,0,0,7.8118,12.0235,0,13.2173,0,29.1798,0,0,38.7676,,0.068,1.617,1.992,,1.549,1.924,2.92309697,3.093185073
1.4462,2.3047,0.9942,7.9014,15.1704,0.222,5.9414,14.9024,0.6671,12.7647,10.0098,28.3692,,0.056,0.616,0.479,,0.56,0.423,1.294110026,1.411191233
0,0,0,0,28.4573,72.5427,0,0,0,0,0,0,,2.225,( + ),( + ),,#VALUE!,#VALUE!,0.571088759,0.570536181
0,0,57.599,0,7.4476,0,0,0,0,0,0,35.9534,,0.067,1.434,1.877,,1.367,1.81,2.652139877,2.897455133
0,41.1751,0,0,10.6782,0,0,0,0,8.8549,0,40.2917,,0.188,2.967,( + ),,2.779,#VALUE!,2.153996336,1.95755699
0,0,16.1046,0,0,0,8.4267,3.9214,16.8391,14.6363,0,41.0718,,0.098,1.672,2.273,,1.574,2.175,1.400281476,1.363946178
0,0,0,0,8.078,0,0,0,53.7566,0,0,39.1653,,0.042,1.832,2.618,,1.79,2.576,2.628218685,2.501724713
0,0,0,0,8.1074,0,0,0,0,25.9738,27.5808,39.3381,,0.103,2.557,2.857,,2.454,2.754,2.285408301,2.465444986
0,0,47.5741,0,8.3172,0,12.9016,0,0,0,0,32.207,,0.063,1.248,1.553,,1.185,1.49,2.211682349,2.551651836
0,0,0,0,10.1822,0,0,10.4185,23.098,14.6259,0,42.6753,,0.077,1.853,2.316,,1.776,2.239,3.058844003,2.976988906
0,0,0,0,10.8829,0,0,16.6256,1.63,28.6895,0,43.1719,,0.068,1.392,1.642,,1.324,1.574,2.558741931,2.583847356
0,0,43.6235,9.9489,11.0342,0,0,0,0,0,0,36.3934,,0.066,1.18,1.371,,1.114,1.305,2.49153752,2.764328885
3.4649,0,0,24.716,25.7524,0,0,0,0,0,0,47.0667,,0.06,1.431,1.42,,1.371,1.36,1.785333517,1.327930276
0,0,0,13.1538,9.4117,0,0,0,0,35.4886,0,42.9459,,0.111,1.592,1.907,,1.481,1.796,2.213821441,2.191768634
0,0,0,0,10.0663,0,0,12.1551,0,40.2112,0,38.5674,,0.032,1.3,1.63,,1.268,1.598,2.933832762,3.076249068
3.2499,7.5848,15.7244,0.0073,9.5113,4.5446,4.3931,3.541,15.2418,4.2983,4.386,27.846,,0.059,1.104,1.423,,1.045,1.364,1.472089881,1.748922788
0,0,0,0,13.2019,0,12.9311,0,39.2413,0,0,35.6256,,0.103,2.058,3.024,,1.955,2.921,2.835617185,2.978342259
0,0,0,0,5.5302,0,0,0,0,60.5593,0,34.9104,,0.084,1.581,2.02,,1.497,1.936,1.942951049,2.174292208
0,0,0,7.4441,11.8608,0,0,9.6485,0,35.6986,0,36.3479,,0.068,0.961,1.038,,0.893,0.97,2.444338519,2.681078824
0,0,24.2107,7.3923,11.7554,0,0,12.7981,0,9.3253,0,35.5181,,0.064,0.978,1.09,,0.914,1.026,2.310745231,2.514907313
0,0,33.1582,0,0,0,0,8.8188,0,18.7315,0,40.2916,,0.049,1.425,1.799,,1.376,1.75,1.38697136,1.377941325
10.6658,0,0,12.1434,27.5327,0,0,0,0,0,2.6403,48.0178,,0.249,2.222,2.271,,1.973,2.022,2.786285095,2.561123927
0,0,46.627,0,4.526,0,0,0,0,0,14.9757,34.8712,,0.025,1.312,1.874,,1.287,1.849,1.965006678,2.236515621
0,0,0,0,14.8873,0,8.7441,0,44.5178,0,0,32.8508,,0.071,1.748,2.476,,1.677,2.405,2.184085969,2.373589257
0,0,0,0,5.834,0,0,0,11.1476,43.0217,0,40.9966,,0.08,1.847,2.549,,1.767,2.469,3.076001715,3.164621427
0,0,0,0,0,0,0,0,8.0432,45.6213,0,47.3355,,0.1,2.19,2.841,,2.09,2.741,1.432646079,1.445148437
12.5253,0,0,14.6582,28.9975,0,0,0,0,0,0,44.819,,0.161,2.857,3.46,,2.696,3.299,2.761062244,2.612703877
7.9783,0,0,4.5571,28.5552,0,3.6296,0,0,0,9.1928,47.087,,0.043,0.05,0.048,,0.007,0.005,1.789957454,1.543293201
0,29.9385,0,3.252,9.3445,0,0,6.605,14.4057,0,0,37.4543,,0.063,2.12,( + ),,2.057,#VALUE!,2.284436131,2.319993158
0,0,10.5031,0,5.9412,0,50.4499,0,0,0,0,34.1058,,0.118,2.058,2.965,,1.94,2.847,2.150391137,2.35241115
0,0,0,0,0,0,54.5382,1.0009,5.9247,0,0,39.5362,,0.062,2.452,( + ),,2.39,#VALUE!,1.375705576,1.408350864
0,0,0,0,15.3758,0,0,0,22.5494,27.7643,0,35.3105,,0.084,1.933,2.532,,1.849,2.448,2.590541782,2.895004318
0,0,0,2.7625,31.3453,0,0,0,0,0,20.4148,46.4773,,0.042,0.04,0.04,,-0.002,-0.002,1.460074455,1.27931408
0,0,38.6537,0,12.4833,0,0,16.518,0,0,0,33.345,,0.058,0.9,1.203,,0.842,1.145,2.039503529,2.217955811
10.3912,5.9466,2.2109,3.1193,7.9962,6.2269,2.8552,8.7239,5.2307,7.2781,5.8411,34.9021,,0.077,1.139,1.302,,1.062,1.225,2.177856823,2.547929399
0,0,40.6383,0,8.4946,0,0,0,0,10.106,0,41.7611,,0.11,2.618,( + ),,2.508,#VALUE!,3.364465856,3.342706854
0,0,20.4002,8.7026,10.8523,0,0,0,0,19.6642,0,41.3807,,0.057,1.669,2.131,,1.612,2.074,2.985093271,3.13619025
0,0,0,0,9.4494,0,0,8.9001,42.5305,1.8964,0,38.2236,,0.108,1.56,2.02,,1.452,1.912,2.799406616,2.754043063
0,0,0,0,14.8463,0,0,10.3732,39.3678,0,0,36.4127,,0.032,1.381,1.567,,1.349,1.535,2.429920028,2.55818079
1.0948,0.6981,0,0,10.8774,0,23.9231,0,0,18.6633,0,43.7433,,0.165,3.481,( + ),,3.316,#VALUE!,3.355040318,3.339090246
0,0,0,4.6859,12.8875,0,20.2671,16.0666,0,0,13.449,33.6439,,0.06,0.817,0.804,,0.757,0.744,2.057772745,2.304231514
0,0,0,0,14.0318,0,0,16.37,0,30.345,0,40.2533,,0.071,1.191,1.352,,1.12,1.281,2.374723631,2.452568959
0,0,0,0,5.2139,0,0,3.1763,44.5571,0,9.6151,38.4376,,0.083,1.733,2.185,,1.65,2.102,2.058515956,2.074762395
10.7519,0,0,0,10.8337,0,0,19.0925,0,0,27.3245,32.9974,,0.082,1.44,1.543,,1.358,1.461,1.775036414,2.037708831
0,0,31.4291,12.0461,11.4337,0,0,7.8112,0,0,0,38.28,,0.037,0.892,0.947,,0.855,0.91,2.215242423,2.421052715
0,0,0,4.3096,12.9056,0,0,0,0,28.9881,22.419,32.3778,,0.119,1.648,1.984,,1.529,1.865,2.330732445,2.72392238
