x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,,PEG,IFN,HSA
100,0,0,0,0,0,0,0,0,0,0,0,,0.109,1.667,1.886
0,100,0,0,0,0,0,0,0,0,0,0,,0.103,1.076,1.053
0,0,100,0,0,0,0,0,0,0,0,0,,0.054,0.355,0.297
0,0,0,100,0,0,0,0,0,0,0,0,,0.055,0.08,0.071
0,0,0,0,100,0,0,0,0,0,0,0,,0.053,0.051,0.056
0,0,0,0,0,100,0,0,0,0,0,0,,2.07,2.597,2.697
0,0,0,0,0,0,100,0,0,0,0,0,,0.058,0.423,0.418
0,0,0,0,0,0,0,100,0,0,0,0,,0.058,0.07,0.068
0,0,0,0,0,0,0,0,100,0,0,0,,0.066,0.582,0.572
0,0,0,0,0,0,0,0,0,100,0,0,,0.072,0.709,0.609
0,0,0,0,0,0,0,0,0,0,100,0,,0.094,1.371,1.445
0,0,0,0,0,0,0,0,0,0,0,100,,0.05,0.051,0.055
9.5025,16.8348,15.2553,0.8889,3.7475,4.7313,1.8613,27.9542,5.6565,4.9762,1.1264,7.3344,,0.058,0.116,0.085
4.1188,0.1379,25.2478,11.8094,1.6285,8.3128,1.1985,5.9003,2.1162,17.377,2.7754,19.6544,,0.059,0.186,0.117
31.0823,0,0,0,0,0,0,0,0,31.624,7.5413,30.7524,,0.148,2.47,2.691
41.0834,0,0,0,0,0,0,0,0,30.2069,0,29.7097,,0.124,2.261,2.585
2.0764,6.4314,8.6374,0.8583,17.0249,12.5006,5.9205,11.0321,4.0351,11.1241,6.7398,13.3333,,0.056,0.132,0.091
6.2979,5.3102,7.4433,0.232,6.9497,1.3076,2.141,30.0428,27.727,8.9464,2.1581,1.8654,,0.057,0.172,0.109
1.6169,5.2903,2.6271,12.58,2.8829,2.2755,7.6193,44.5672,4.1667,9.7342,0.0021,7.0077,,0.057,0.106,0.077
2.3944,27.4409,3.9502,23.8464,15.9902,7.7808,0.8087,5.1955,3.9578,4.013,3.5033,0.5608,,0.052,0.06,0.06
1.1424,24.5523,10.1064,12.201,13.982,5.4251,2.6955,5.9472,0.6283,8.7517,0.7193,13.3335,,0.06,0.157,0.098
0.3924,11.8309,0.8824,29.823,18.2209,6.1764,6.6494,3.788,8.6263,4.8551,8.6162,0.1983,,0.054,0.066,0.063
2.6013,30.5841,4.1902,3.579,3.7768,5.138,2.2217,8.6837,28.803,3.9339,6.0791,0.5191,,0.058,0.147,0.106
0.4737,3.4879,0.1202,19.1002,16.7153,5.1141,5.6565,10.2921,7.0894,22.2692,8.1106,0.7356,,0.058,0.111,0.082
12.7971,4.8911,2.8787,1.8186,1.5455,17.3357,8.5702,9.598,8.8523,17.3027,0.9172,13.4775,,0.056,0.119,0.085
17.3413,16.5984,2.4676,24.6561,9.8628,3.0593,1.6498,2.1427,14.1661,1.2406,4.9889,2.2076,,0.058,0.122,0.08
4.2277,2.3128,15.2486,10.729,2.2414,1.5516,21.7661,4.4029,1.6824,6.9688,28.5892,1.2341,,0.06,0.248,0.159
0.0248,2.7413,0,28.2986,0,0,0,10.0748,0,2.6092,0,57.2514,,0.145,2.279,2.329
22.5018,0,0,0,0,12.0974,0,0,0,27.8892,7.5718,30.9398,,0.195,2.59,2.778
2.7798,2.8357,0.3937,1.6834,7.2019,11.1807,18.0254,4.6809,16.1969,11.0208,13.6609,10.2527,,0.061,0.313,0.216
6.0263,1.4688,0.2037,10.0084,36.829,6.7954,2.8139,12.6357,5.7023,12.1119,3.9976,0.7468,,0.057,0.1,0.085
19.626,9.1287,17.3352,0.0509,7.2029,3.1384,22.933,7.2923,7.3796,0.065,0.3015,6.0087,,0.061,0.454,0.372
11.5722,2.5828,4.7454,2.2593,5.3505,14.8679,2.9797,1.7911,22.6483,21.8105,0.5075,9.4535,,0.056,0.164,0.111
18.3662,3.7411,2.5106,1.0384,7.3649,5.1139,9.8785,21.7171,2.1748,5.3242,11.1972,11.841,,0.062,0.244,0.138
26.6357,0,0,0,0,14.0596,0,0,0,31.3179,0,28.9868,,0.131,1.951,2.131
3.7615,0.2974,0.9511,11.7403,57.3233,12.8529,2.2736,0,4.787,0.9153,2.0213,3.1034,,0.053,0.07,0.082
0,3.6632,6.8628,62.9906,0,17.0785,1.4456,0,8.9593,0,0,0,,0.053,0.054,0.067
1.81,0.7655,2.1004,9.5504,8.0727,2.2747,4.5673,2.429,0.8487,39.5177,6.7083,20.4076,,0.077,0.653,0.564
0,0,0,17.2187,33.5893,0,0,0,0,0,17.1289,33.0631,,0.11,1.689,1.412
22.2224,7.621,1.8557,1.0895,6.947,3.5038,23.6415,1.0271,2.3229,3.92,14.9467,10.4894,,0.071,0.901,0.919
0.9199,0,0,0,68.6382,0.1753,0.0095,0,0,6.3229,0.0078,24.9264,,0.05,0.052,0.056
14.4877,0,0,70.3879,0,7.8724,3.9527,0,0,1.2205,3.0788,0,,0.052,0.056,0.061
9.7765,11.7062,8.6466,4.8072,0.4946,8.3185,37.3433,3.3381,7.9593,1.8016,2.6563,2.977,,0.056,0.159,0.126
17.2171,3.9513,5.4454,12.3969,25.8216,1.278,1.7202,1.5257,12.886,6.477,9.9454,1.3871,,0.061,0.209,0.148
0.157,6.4793,12.4004,10.6958,9.9865,8.9867,17.892,0.5021,7.7758,13.026,0.5253,11.6063,,0.056,0.148,0.111
39.9807,7.3951,0,26.3011,11.404,0,0,0,8.3166,0,4.638,2.9644,,0.071,0.292,0.191
8.7595,0.3443,10.6467,4.7609,1.8735,5.5178,4.536,3.5827,1.9401,13.6783,42.3186,2.8406,,0.062,0.208,0.148
8.2558,3.0453,40.4414,1.9232,3.2259,10.7146,15.9735,0.55,8.6378,3.1387,2.7593,2.1666,,0.056,0.25,0.205
0,0,0,0,2.8567,0,0,38.2509,0,0,0,59.8924,,0.116,1.61,1.654
0,0,0,18.7456,43.3102,5.7978,0,3.3838,0,0,0,29.7626,,0.08,0.271,0.187
12.8158,10.7508,15.0402,2.0142,7.3969,5.5485,2.1585,8.6939,18.1771,6.2509,1.3169,9.7364,,0.06,0.242,0.182
0.0644,4.6098,3.8204,0,29.959,48.9928,4.5017,0,4.1717,2.8803,0,0,,2.297,2.264,2.051
7.3058,1.8322,24.0736,14.6424,12.2504,10.2309,2.8723,4.9249,6.731,4.6753,9.9225,0.5406,,0.052,0.08,0.074
0,65.1096,0,0,0,0,0,0,0,0,0,35.8904,,0.36,2.615,2.735
18.8811,1.6584,5.7774,11.7411,2.9228,18.8054,3.2019,0.3101,11.5978,6.8351,9.4877,8.8747,,0.059,0.085,0.097
2.8514,9.7738,6.8648,1.4663,1.8822,5.1447,10.3292,2.5729,27.4853,9.303,15.0221,8.0893,,0.064,0.442,0.368
14.3274,5.2534,2.8407,4.2815,18.523,7.5608,10.4797,0.1499,15.2829,12.5949,3.1779,6.2209,,0.06,0.239,0.159
27.437,0,0,0,0,11.723,0,3.0184,0.5498,14.8748,11.0381,32.3589,,0.056,0.092,0.083
3.8127,7.0076,17.4977,18.9228,17.7573,1.2768,1.3133,6.9056,8.2798,6.4711,7.167,3.5949,,0.056,0.133,0.095
0,3.8335,4.7731,14.1922,55.7303,8.0688,0.6396,0,3.1833,0,7.5589,3.0203,,0.074,0.149,0.133
3.8272,18.9727,4.3556,17.8326,15.2716,1.9524,3.9359,13.094,6.6546,7.6994,0.4589,5.0644,,0.057,0.102,0.082
7.248,5.3826,6.6342,5.2653,11.8348,3.6995,8.5815,41.5746,2.0527,1.093,3.7452,3.5798,,0.054,0.076,0.069
4.2567,23.8187,9.4704,16.0513,4.6791,0.4086,17.3168,2.9084,8.4735,6.9002,4.1256,2.3589,,0.061,0.272,0.189
4.3469,5.6453,0.2153,0,12.366,9.409,26.4565,0,1.1496,3.0272,0.0424,38.3418,,0.049,0.051,0.056
10.3098,1.0796,8.6246,19.5147,4.8443,3.5849,0.7108,5.3553,0.3528,16.3766,11.6726,17.0794,,0.063,0.246,0.151
9.263,1.5303,2.1123,9.6319,1.1363,8.7425,5.1647,2.7474,13.8531,13.0868,2.1226,31.2924,,0.077,0.704,0.658
5.6822,3.0294,0.328,5.4965,16.0538,6.3608,10.3028,23.2912,2.7159,14.0043,11.9627,1.4959,,0.055,0.08,0.069
16.689,0,0,14.738,16.3417,0,0,0,0,0,0,53.2313,,0.207,2.555,2.745
15.4319,0.9732,12.8586,0.8786,0.0487,2.4507,23.2837,6.2806,2.3078,13.8885,2.2011,20.1906,,0.072,0.687,0.771
